"","sp","lon","lat"
"640","Bokermannohyla_caramaschii",-40.683056,-20.412778
"641","Bokermannohyla_caramaschii",-39.5652778,-15.3916667
"642","Bokermannohyla_caramaschii",-40.746111,-20.040556
"643","Bokermannohyla_caramaschii",-42.00905,-20.1341
"646","Bokermannohyla_circumdata",-48.77,-22.19
"647","Bokermannohyla_circumdata",-46.1447,-22.7553
"648","Bokermannohyla_circumdata",-45.59,-22.73
"649","Bokermannohyla_circumdata",-45.53158,-22.699226
"650","Bokermannohyla_circumdata",-45.458441,-22.673752
"651","Bokermannohyla_circumdata",-45.44333,-23.5837
"652","Bokermannohyla_circumdata",-43.4075,-20.0747
"654","Bokermannohyla_circumdata",-43.1786,-22.505
"655","Bokermannohyla_circumdata",-47.71,-23.81
"656","Bokermannohyla_circumdata",-49.0633,-25.4417
"657","Bokermannohyla_circumdata",-39.5652778,-15.3916667
"658","Bokermannohyla_circumdata",-48.3653,-24.0992
"659","Bokermannohyla_circumdata",-44.569722,-22.64
"661","Bokermannohyla_circumdata",-49.2064,-25.5347
"662","Bokermannohyla_circumdata",-45.31,-23.22
"663","Bokermannohyla_circumdata",-47.5,-23.96
"664","Bokermannohyla_circumdata",-49.1989,-25.9281
"665","Bokermannohyla_circumdata",-45.0711,-23.4339
"672","Bokermannohyla_hylax",-48.788813,-22.16862
"673","Bokermannohyla_hylax",-48.500426,-27.61715
"675","Bokermannohyla_hylax",-48.4390111,-27.5600431
"676","Bokermannohyla_hylax",-48.812748,-25.790399
"677","Bokermannohyla_hylax",-47.258239,-24.435714
"678","Bokermannohyla_hylax",-48.600841,-24.455993
"679","Bokermannohyla_hylax",-48.954504,-26.245438
"680","Bokermannohyla_hylax",-38.143456,-12.477061
"681","Bokermannohyla_hylax",-48.841809,-25.499088
"682","Bokermannohyla_hylax",-47.333333,-23.816667
"683","Bokermannohyla_hylax",-45.843097,-23.579082
"684","Bokermannohyla_hylax",-48.7786,-27.6881
"685","Bokermannohyla_hylax",-39.569109,-12.727954
"686","Bokermannohyla_hylax",-46.6105,-23.5879
"687","Bokermannohyla_hylax",-47.9605,-24.136557
"688","Bokermannohyla_hylax",-47.45,-23.95
"784","Brachycephalus_ephippium",-46.5503,-23.1169
"785","Brachycephalus_ephippium",-46.549722,-23.110278
"787","Brachycephalus_ephippium",-44.653292,-22.354246
"788","Brachycephalus_ephippium",-47.06,-22.9
"789","Brachycephalus_ephippium",-42.200365,-22.467152
"790","Brachycephalus_ephippium",-46.933331,-23.616671
"791","Brachycephalus_ephippium",-46.9192,-23.6039
"792","Brachycephalus_ephippium",-46.909722,-23.600278
"793","Brachycephalus_ephippium",-44.56,-22.5
"794","Brachycephalus_ephippium",-44.563056,-22.496111
"796","Brachycephalus_ephippium",-44.585085,-22.437138
"797","Brachycephalus_ephippium",-46.88,-23.180278
"799","Brachycephalus_ephippium",-43.07323,-22.495143
"800","Brachycephalus_ephippium",-46.65,-23.41667
"802","Brachycephalus_ephippium",-42.48333,-20.7667
"803","Brachycephalus_ephippium",-46.188056,-23.523056
"804","Brachycephalus_ephippium",-46.816667,-22.866667
"805","Brachycephalus_ephippium",-43.407529,-22.561563
"806","Brachycephalus_ephippium",-44.7167,-23.05417
"807","Brachycephalus_ephippium",-44.677904,-23.018135
"809","Brachycephalus_ephippium",-43.18444,-22.51083
"810","Brachycephalus_ephippium",-45.183331,-22.6
"811","Brachycephalus_ephippium",-44.675,-22.3884
"812","Brachycephalus_ephippium",-44.446667,-22.469167
"813","Brachycephalus_ephippium",-44.03,-22.81
"814","Brachycephalus_ephippium",-44.03333,-22.81455
"815","Brachycephalus_ephippium",-43.216671,-22.950001
"816","Brachycephalus_ephippium",-43.185287,-22.92606
"817","Brachycephalus_ephippium",-43.271044,-22.949395
"818","Brachycephalus_ephippium",-43.5,-22.91
"819","Brachycephalus_ephippium",-43.449881,-22.921177
"820","Brachycephalus_ephippium",-43.2075,-22.903056
"823","Brachycephalus_ephippium",-46.323527,-23.775724
"824","Brachycephalus_ephippium",-45.883924,-23.166944
"825","Brachycephalus_ephippium",-46.648336,-23.650062
"826","Brachycephalus_ephippium",-42.84901,-22.31807
"827","Brachycephalus_ephippium",-42.965556,-22.412222
"853","Ceratophrys_aurita",-42.010364,-22.820487
"854","Ceratophrys_aurita",-38.990323,-12.510447
"855","Ceratophrys_aurita",-48.66042,-25.790478
"857","Ceratophrys_aurita",-46.920403,-24.220479
"858","Ceratophrys_aurita",-48.680421,-26.080479
"859","Ceratophrys_aurita",-39.870341,-19.450478
"860","Ceratophrys_aurita",-40.070342,-19.380478
"861","Ceratophrys_aurita",-39.80034,-19.290478
"863","Ceratophrys_aurita",-39.380334,-17.870472
"864","Ceratophrys_aurita",-44.080371,-19.51047
"865","Ceratophrys_aurita",-47.140404,-24.090478
"866","Ceratophrys_aurita",-39.290331,-16.480466
"867","Ceratophrys_aurita",-43.200373,-22.930484
"868","Ceratophrys_aurita",-43.450356,-14.190449
"869","Ceratophrys_aurita",-38.60032,-12.680448
"870","Ceratophrys_aurita",-46.720401,-23.820479
"871","Ceratophrys_aurita",-46.6904,-23.710478
"872","Ceratophrys_aurita",-43.020371,-22.450483
"873","Ceratophrys_aurita",-49.130424,-25.950477
"874","Ceratophrys_aurita",-44.860386,-23.300482
"1117","Crossodactylus_caramaschii",-48.729589,-24.491816
"1118","Crossodactylus_caramaschii",-46.549722,-23.110278
"1119","Crossodactylus_caramaschii",-48.439722,-22.88
"1120","Crossodactylus_caramaschii",-49.343611,-26.402222
"1121","Crossodactylus_caramaschii",-48.234223,-24.495756
"1122","Crossodactylus_caramaschii",-48.1081,-24.52
"1123","Crossodactylus_caramaschii",-50.4031,-23.8492
"1124","Crossodactylus_caramaschii",-49.55,-22.29
"1125","Crossodactylus_caramaschii",-48.53,-24.18
"1126","Crossodactylus_caramaschii",-48.547623,-24.514711
"1127","Crossodactylus_caramaschii",-48.600841,-24.455993
"1128","Crossodactylus_caramaschii",-48.59,-24.58
"1129","Crossodactylus_caramaschii",-48.909722,-26.205556
"1130","Crossodactylus_caramaschii",-49.81,-22.41
"1131","Crossodactylus_caramaschii",-48.83,-25.48
"1132","Crossodactylus_caramaschii",-47.849779,-24.67952
"1133","Crossodactylus_caramaschii",-47.88,-24.71
"1134","Crossodactylus_caramaschii",-47.708741,-23.886309
"1135","Crossodactylus_caramaschii",-47.71,-23.81
"1136","Crossodactylus_caramaschii",-48.7597,-24.22
"1138","Crossodactylus_caramaschii",-48.36,-24.090278
"1140","Crossodactylus_caramaschii",-49.311944,-26.312222
"1141","Crossodactylus_caramaschii",-49.2064,-25.5347
"1142","Crossodactylus_caramaschii",-47.9605,-24.136557
"1143","Crossodactylus_caramaschii",-49.1989,-25.9281
"1148","Crossodactylus_gaudichaudii",-44.2,-23.183333
"1149","Crossodactylus_gaudichaudii",-40.416667,-20.266667
"1151","Crossodactylus_gaudichaudii",-40.42,-20.263889
"1152","Crossodactylus_gaudichaudii",-40.466944,-20.277519
